x,p_x,y,p_y,p_yx,pmi_yx
Jacobello,0.0036231884057971015,Pietro Paolo,0.0036231884057971015,1.0,8.108524456778168
Paolo,0.0036231884057971015,Pietro,0.0036231884057971015,1.0,8.108524456778168
"Bolognese, Franco",0.0036231884057971015,Agobbio,0.0036231884057971015,1.0,8.108524456778168
Antonio da San Gallo,0.0036231884057971015,Fuccio,0.0036231884057971015,1.0,8.108524456778168
Antonio da San Gallo,0.0036231884057971015,Bramante da Urbino,0.0036231884057971015,1.0,8.108524456778168
Fuccio,0.0036231884057971015,Bramante da Urbino,0.0036231884057971015,1.0,8.108524456778168
"Faenza, Ottaviano da",0.0036231884057971015,"Faenza, Pace da",0.0036231884057971015,1.0,8.108524456778168
Agnolo di Lorenzo,0.0036231884057971015,Michelino,0.0036231884057971015,1.0,8.108524456778168
Agnolo di Lorenzo,0.0036231884057971015,Giovanni Tossicani,0.0036231884057971015,1.0,8.108524456778168
Michelino,0.0036231884057971015,Giovanni Tossicani,0.0036231884057971015,1.0,8.108524456778168
Forzore di Spinello,0.0036231884057971015,Leonardo di Ser Giovanni,0.0036231884057971015,1.0,8.108524456778168
"Fonte, Jacopo della (Jacopo della Quercia)",0.0036231884057971015,"Aretino, Niccolò",0.0036231884057971015,1.0,8.108524456778168
Domenico Ghirlandajo,0.0036231884057971015,"Ghirlandajo, Ridolfo",0.0036231884057971015,1.0,8.108524456778168
Domenico Ghirlandajo,0.0036231884057971015,Antonio (called Il Carota),0.0036231884057971015,1.0,8.108524456778168
"Ghirlandajo, Ridolfo",0.0036231884057971015,Antonio (called Il Carota),0.0036231884057971015,1.0,8.108524456778168
Fra Giovanni,0.007246376811594203,"Campi, Fra Ristoro da",0.0036231884057971015,0.5,7.10852445677817
Jacopo Lanfrani,0.007246376811594203,Jacobello,0.0036231884057971015,0.5,7.10852445677817
Jacopo Lanfrani,0.007246376811594203,Pietro Paolo,0.0036231884057971015,0.5,7.10852445677817
Jacopo Lanfrani,0.007246376811594203,Forzore di Spinello,0.0036231884057971015,0.5,7.10852445677817
Jacopo Lanfrani,0.007246376811594203,Leonardo di Ser Giovanni,0.0036231884057971015,0.5,7.10852445677817
Lippo,0.007246376811594203,Agnolo di Lorenzo,0.0036231884057971015,0.5,7.10852445677817
Lippo,0.007246376811594203,Michelino,0.0036231884057971015,0.5,7.10852445677817
Lippo,0.007246376811594203,Giovanni Tossicani,0.0036231884057971015,0.5,7.10852445677817
