x,p_x,y,p_y,p_yx,pmi_yx
Simone,0.001736111111111111,"Galassi, Galasso (Galasso Ferrarese)",0.001736111111111111,1.0,9.169925001442314
Simone,0.001736111111111111,Cristofano,0.001736111111111111,1.0,9.169925001442314
"Galassi, Galasso (Galasso Ferrarese)",0.001736111111111111,Cristofano,0.001736111111111111,1.0,9.169925001442314
Polycletus,0.001736111111111111,"Ghiberti, Bonaccorso",0.001736111111111111,1.0,9.169925001442314
"Bandinelli, Baccio (Baccio de' Brandini)",0.001736111111111111,"Ammanati, Bartolommeo",0.001736111111111111,1.0,9.169925001442314
"Bolognese, Marc' Antonio (Marc' Antonio Raimondi, or de' Franci)",0.001736111111111111,Baviera,0.001736111111111111,1.0,9.169925001442314
"Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori)",0.001736111111111111,"Romano, Giulio (Giulio Pippi de' Giannuzzi)",0.001736111111111111,1.0,9.169925001442314
"Verona, Sebeto da",0.001736111111111111,"Avanzi, Jacopo (Jacopo Davanzo)",0.001736111111111111,1.0,9.169925001442314
"Verona, Sebeto da",0.001736111111111111,"Zevio, Aldigieri (Altichiero) da",0.001736111111111111,1.0,9.169925001442314
"Avanzi, Jacopo (Jacopo Davanzo)",0.001736111111111111,"Zevio, Aldigieri (Altichiero) da",0.001736111111111111,1.0,9.169925001442314
"Romano, Paolo",0.003472222222222222,"Mino, Maestro (Mino del Regno, or del Reame)",0.003472222222222222,1.0,8.169925001442312
"Ghirlandajo, David",0.001736111111111111,"Mainardi, Bastiano (Bastiano da San Gimignano)",0.003472222222222222,1.0,8.169925001442312
"Ghirlandajo, Ridolfo",0.003472222222222222,"Sarto, Andrea del (Andrea d' Agnolo)",0.001736111111111111,0.5,8.169925001442312
"Casentino, Jacopo di",0.005208333333333333,"Daddi, Bernardo",0.001736111111111111,0.3333333333333333,7.584962500721156
"Ciuffagni, Bernardo",0.001736111111111111,"Filarete, Antonio",0.005208333333333333,1.0,7.584962500721156
"Rosselli, Cosimo",0.005208333333333333,"Cosimo, Andrea di (Andrea di Cosimo Feltrini)",0.001736111111111111,0.3333333333333333,7.584962500721156
"Laurati, Pietro (Pietro Lorenzetti)",0.003472222222222222,"Bologhini, Bartolommeo",0.003472222222222222,0.5,7.169925001442313
Margaritone,0.006944444444444444,"Tedesco, Jacopo (Lapo)",0.001736111111111111,0.25,7.169925001442313
"Tafi, Andrea",0.006944444444444444,"Como, Guido da",0.001736111111111111,0.25,7.169925001442313
"Baldovinetti, Alesso",0.006944444444444444,Graffione,0.001736111111111111,0.25,7.169925001442313
"Pollaiuolo, Piero",0.003472222222222222,"Pollaiuolo, Antonio",0.006944444444444444,1.0,7.169925001442313
"Francia, Francesco",0.006944444444444444,Fivizzano,0.001736111111111111,0.25,7.169925001442313
"Signorelli, Luca (Luca da Cortona)",0.006944444444444444,"Caporali, Benedetto (Giovan Battista)",0.001736111111111111,0.25,7.169925001442313
"Credi, Lorenzo di",0.003472222222222222,"Ghirlandajo, Ridolfo",0.003472222222222222,0.5,7.169925001442313
"Gaddi, Agnolo",0.008680555555555556,"Gaddi, Giovanni",0.001736111111111111,0.19999999999999998,6.84799690655495
Agnolo (of Siena),0.008680555555555556,Agostino (of Siena),0.005208333333333333,0.6,6.84799690655495
"Mantegna, Andrea",0.008680555555555556,"Squarcione, Jacopo",0.001736111111111111,0.19999999999999998,6.84799690655495
"Bellini, Gentile",0.008680555555555556,"Bellini, Jacopo",0.003472222222222222,0.39999999999999997,6.84799690655495
"Bellini, Gentile",0.008680555555555556,"Vivarino, Luigi",0.001736111111111111,0.19999999999999998,6.84799690655495
"Maiano, Giuliano da",0.008680555555555556,"Donzello, Polito del",0.001736111111111111,0.19999999999999998,6.84799690655495
"Pisano, Andrea",0.010416666666666666,"Pisano, Nino",0.001736111111111111,0.16666666666666666,6.584962500721156
Simone (brother of Donatello),0.003472222222222222,"Filarete, Antonio",0.005208333333333333,0.5,6.584962500721156
"Gozzoli, Benozzo",0.010416666666666666,"Forlï¿½, Melozzo da",0.001736111111111111,0.16666666666666666,6.584962500721156
"Fabriano, Gentile da",0.005208333333333333,"Pisanello, Vittore or Antonio",0.003472222222222222,0.3333333333333333,6.584962500721156
"Albertinelli, Mariotto",0.010416666666666666,Visino,0.001736111111111111,0.16666666666666666,6.584962500721156
"Marcilla, Guglielmo da (Guillaume de Marcillac)",0.010416666666666666,"Claudio, Maestro",0.003472222222222222,0.3333333333333333,6.584962500721156
"Credi, Lorenzo di",0.003472222222222222,Torrigiano,0.005208333333333333,0.5,6.584962500721156
"Memmi, Simone (Simone Martini, or Sanese)",0.012152777777777778,"Memmi, Lippo",0.005208333333333333,0.42857142857142855,6.362570079384708
"Quercia, Jacopo della (Jacopo della Fonte)",0.012152777777777778,Matteo (of Lucca),0.001736111111111111,0.14285714285714285,6.362570079384708
