x,p_x,y,p_y,p_yx,pmi_yx
"Ghiberti, Bonaccorso",0.0038910505836575876,Polycletus,0.0038910505836575876,1.0,8.005624549193879
"Galassi, Galasso (Galasso Ferrarese)",0.0038910505836575876,Simone,0.0038910505836575876,1.0,8.005624549193879
"Galassi, Galasso (Galasso Ferrarese)",0.0038910505836575876,Cristofano,0.0038910505836575876,1.0,8.005624549193879
Simone,0.0038910505836575876,Cristofano,0.0038910505836575876,1.0,8.005624549193879
"Casentino, Jacopo di",0.011673151750972763,"Daddi, Bernardo",0.0038910505836575876,0.3333333333333333,6.420662048472722
Margaritone,0.01556420233463035,"Tedesco, Jacopo (Lapo)",0.0038910505836575876,0.25,6.005624549193879
"Tafi, Andrea",0.01556420233463035,"Como, Guido da",0.0038910505836575876,0.25,6.005624549193879
"Laurati, Pietro (Pietro Lorenzetti)",0.007782101167315175,"Bologhini, Bartolommeo",0.007782101167315175,0.5,6.005624549193879
Agnolo (of Siena),0.019455252918287938,Agostino (of Siena),0.011673151750972763,0.6,5.683696454306516
"Gaddi, Agnolo",0.019455252918287938,"Gaddi, Giovanni",0.0038910505836575876,0.2,5.683696454306516
"Pisano, Andrea",0.023346303501945526,"Pisano, Nino",0.0038910505836575876,0.16666666666666666,5.420662048472722
"Quercia, Jacopo della (Jacopo della Fonte)",0.023346303501945526,Matteo (of Lucca),0.0038910505836575876,0.16666666666666666,5.420662048472722
"Memmi, Lippo",0.011673151750972763,"Memmi, Simone (Simone Martini, or Sanese)",0.027237354085603113,1.0,5.198269627136274
"Aretino, Spinello",0.0311284046692607,"Daddi, Bernardo",0.0038910505836575876,0.125,5.005624549193878
"Robbia, Luca della",0.0311284046692607,"Robbia, Agostino della",0.0038910505836575876,0.125,5.005624549193878
"Tafi, Andrea",0.01556420233463035,"Gaddi, Gaddo",0.011673151750972763,0.25,4.420662048472723
"Pisano, Tommaso",0.007782101167315175,"Pisano, Andrea",0.023346303501945526,0.5,4.420662048472723
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.06614785992217899,"Ghiberti, Bonaccorso",0.0038910505836575876,0.058823529411764705,3.9181617079435385
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.06614785992217899,Polycletus,0.0038910505836575876,0.058823529411764705,3.9181617079435385
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.06614785992217899,"Ghiberti, Bartoluccio",0.007782101167315175,0.11764705882352941,3.9181617079435385
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.06614785992217899,"Ghiberti, Vittorio",0.0038910505836575876,0.058823529411764705,3.9181617079435385
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.06614785992217899,"Buonarroti, Michelagnolo",0.0038910505836575876,0.058823529411764705,3.9181617079435385
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.06614785992217899,"Panicale, Masolino da",0.0038910505836575876,0.058823529411764705,3.9181617079435385
"Tafi, Andrea",0.01556420233463035,"Cimabue, Giovanni",0.042801556420233464,0.5,3.546192930556581
"Pisano, Giovanni",0.0311284046692607,"Pisano, Niccola",0.023346303501945526,0.25,3.4206620484727224
"Pisano, Giovanni",0.0311284046692607,Agostino (of Siena),0.011673151750972763,0.125,3.4206620484727224
"Giovanni, Bruno di",0.007782101167315175,"Buffalmacco, Buonamico",0.04669260700389105,0.5,3.4206620484727224
"Aretino, Spinello",0.0311284046692607,"Casentino, Jacopo di",0.011673151750972763,0.125,3.4206620484727224
"Banco, Nanni d' Antonio di",0.007782101167315175,Donato (Donatello),0.0933852140077821,1.0,3.4206620484727224
Simone (brother of Donatello),0.0038910505836575876,Donato (Donatello),0.0933852140077821,1.0,3.4206620484727224
Giotto,0.12840466926070038,"Capanna, Puccio",0.0038910505836575876,0.030303030303030307,2.961230429835425
"Cimabue, Giovanni",0.042801556420233464,"Gaddi, Gaddo",0.011673151750972763,0.09090909090909091,2.9612304298354246
Agnolo (of Siena),0.019455252918287938,"Pisano, Giovanni",0.0311284046692607,0.2,2.683696454306516
"Gaddi, Agnolo",0.019455252918287938,"Gaddi, Taddeo",0.0311284046692607,0.2,2.683696454306516
"Buffalmacco, Buonamico",0.04669260700389105,"Orcagna, Andrea di Cione",0.01556420233463035,0.08333333333333333,2.420662048472722
"Robbia, Luca della",0.0311284046692607,"Spinelli, Parri",0.023346303501945526,0.125,2.420662048472722
"Uccello, Paolo",0.03501945525291829,Masaccio,0.023346303501945526,0.1111111111111111,2.2507370470304093
