x,p_x,y,p_y,p_yx,pmi_yx
"Ghiberti, Bonaccorso",0.0008748906386701663,Polycletus,0.0008748906386701663,1.0,10.158609688214478
"Galassi, Galasso (Galasso Ferrarese)",0.0008748906386701663,Simone,0.0008748906386701663,1.0,10.158609688214478
"Galassi, Galasso (Galasso Ferrarese)",0.0008748906386701663,Cristofano,0.0008748906386701663,1.0,10.158609688214478
Simone,0.0008748906386701663,Cristofano,0.0008748906386701663,1.0,10.158609688214478
"Avanzi, Jacopo (Jacopo Davanzo)",0.0008748906386701663,"Zevio, Aldigieri (Altichiero) da",0.0008748906386701663,1.0,10.158609688214478
"Avanzi, Jacopo (Jacopo Davanzo)",0.0008748906386701663,"Verona, Sebeto da",0.0008748906386701663,1.0,10.158609688214478
"Zevio, Aldigieri (Altichiero) da",0.0008748906386701663,"Verona, Sebeto da",0.0008748906386701663,1.0,10.158609688214478
"Maini (Marini), Michele",0.0008748906386701663,"Marchissi, Antonio di Giorgio",0.0008748906386701663,1.0,10.158609688214478
"Conti, Domenico",0.0008748906386701663,"Salviati, Francesco (Francesco de' Rossi)",0.0008748906386701663,1.0,10.158609688214478
"Cattaneo, Danese (Danese da Carrara)",0.0008748906386701663,"Angelo, Battista d' (Battista d' Agnolo, or del Moro)",0.0008748906386701663,1.0,10.158609688214478
"Ceri, Andrea de'",0.0008748906386701663,"Nunziata, Toto del",0.0008748906386701663,1.0,10.158609688214478
"Lancia, Baldassarre",0.0008748906386701663,"Menzochi, Francesco (Francesco da Forlï¿½)",0.0008748906386701663,1.0,10.158609688214478
"Mainardi, Bastiano (Bastiano da San Gimignano)",0.0017497812773403325,"Ghirlandajo, David",0.0008748906386701663,0.5,9.158609688214478
"Nola, Giovanni da",0.0017497812773403325,"Santa Croce, Girolamo",0.0008748906386701663,0.5,9.158609688214478
"Bernazzano, Cesare",0.0008748906386701663,"Dossi, Battista",0.0017497812773403325,1.0,9.158609688214478
"Cotignola, Francesco da (Francesco de' Zaganelli",0.0017497812773403325,"Ravenna, Rondinello da (Niccolï¿½ Rondinello)",0.0008748906386701663,0.5,9.158609688214478
"Canneri, Anselmo",0.0017497812773403325,"Caliari, Paolo (Paolo Veronese)",0.0017497812773403325,1.0,9.158609688214478
"Canneri, Anselmo",0.0017497812773403325,"Caroto, Giovanni",0.0008748906386701663,0.5,9.158609688214478
"Caliari, Paolo (Paolo Veronese)",0.0017497812773403325,"Caroto, Giovanni",0.0008748906386701663,0.5,9.158609688214478
"Viviano, Michelagnolo di",0.0017497812773403325,"Buda, Girolamo del",0.0008748906386701663,0.5,9.158609688214478
"Viviano, Michelagnolo di",0.0017497812773403325,"Prato, Francesco di Girolamo dal",0.0008748906386701663,0.5,9.158609688214478
"Casentino, Jacopo di",0.0026246719160104987,"Daddi, Bernardo",0.0008748906386701663,0.33333333333333337,8.573647187493323
"Romano, Paolo",0.0026246719160104987,"Mino, Maestro (Mino del Regno, or del Reame)",0.0017497812773403325,0.6666666666666667,8.573647187493323
"Filarete, Antonio",0.0026246719160104987,"Ciuffagni, Bernardo",0.0008748906386701663,0.33333333333333337,8.573647187493323
"Dossi, Dosso",0.0026246719160104987,"Bernazzano, Cesare",0.0008748906386701663,0.33333333333333337,8.573647187493323
"Dossi, Dosso",0.0026246719160104987,"Dossi, Battista",0.0017497812773403325,0.6666666666666667,8.573647187493323
"Modena, Pellegrino da (Pellegrino degli Aretusi, or de' Munari)",0.0026246719160104987,"Pistoia, Il (Leonardo)",0.0008748906386701663,0.33333333333333337,8.573647187493323
"Cock, Hieronymus",0.0026246719160104987,"Liefrinck, Hans",0.0008748906386701663,0.33333333333333337,8.573647187493323
"Viniziano, Agostino (Agostino de' Musi)",0.0026246719160104987,"Dente, Marco (Marco da Ravenna)",0.0017497812773403325,0.6666666666666667,8.573647187493323
Margaritone,0.003499562554680665,"Tedesco, Jacopo (Lapo)",0.0008748906386701663,0.25,8.15860968821448
"Tafi, Andrea",0.003499562554680665,"Como, Guido da",0.0008748906386701663,0.25,8.15860968821448
"Laurati, Pietro (Pietro Lorenzetti)",0.0017497812773403325,"Bologhini, Bartolommeo",0.0017497812773403325,0.5,8.15860968821448
"Maiano, Giuliano da",0.003499562554680665,"Donzello, Polito del",0.0008748906386701663,0.25,8.15860968821448
"Baldovinetti, Alesso",0.003499562554680665,Graffione,0.0008748906386701663,0.25,8.15860968821448
"Pollaiuolo, Antonio",0.003499562554680665,"Pollaiuolo, Piero",0.0017497812773403325,0.5,8.15860968821448
"Bolognese, Marc' Antonio (Marc' Antonio Raimondi, or de' Franci)",0.0017497812773403325,Baviera,0.0017497812773403325,0.5,8.15860968821448
Baviera,0.0017497812773403325,"Caraglio, Giovanni Jacopo",0.0017497812773403325,0.5,8.15860968821448
"Francia, Francesco",0.003499562554680665,Fivizzano,0.0008748906386701663,0.25,8.15860968821448
"Licinio, Giovanni Antonio (Cuticello, or Pordenone)",0.003499562554680665,"Amalteo, Pomponio",0.0008748906386701663,0.25,8.15860968821448
"Fiesole, Andrea da (Andrea Ferrucci)",0.003499562554680665,"Maini (Marini), Michele",0.0008748906386701663,0.25,8.15860968821448
"Fiesole, Andrea da (Andrea Ferrucci)",0.003499562554680665,"Marchissi, Antonio di Giorgio",0.0008748906386701663,0.25,8.15860968821448
"Vicentino, Valerio (Valerio de' Belli)",0.003499562554680665,"Marmita, Lodovico",0.0008748906386701663,0.25,8.15860968821448
Agnolo (of Siena),0.004374453193350831,Agostino (of Siena),0.0026246719160104987,0.6,7.836681593327116
"Gaddi, Agnolo",0.004374453193350831,"Gaddi, Giovanni",0.0008748906386701663,0.19999999999999998,7.836681593327116
