x,p_x,y,p_y,p_yx,pmi_yx
Simone,0.0007733952049497294,"Galassi, Galasso (Galasso Ferrarese)",0.0007733952049497294,1.0,10.336506559810255
Simone,0.0007733952049497294,Cristofano,0.0007733952049497294,1.0,10.336506559810255
"Galassi, Galasso (Galasso Ferrarese)",0.0007733952049497294,Cristofano,0.0007733952049497294,1.0,10.336506559810255
Polycletus,0.0007733952049497294,"Ghiberti, Bonaccorso",0.0007733952049497294,1.0,10.336506559810255
"Verona, Sebeto da",0.0007733952049497294,"Avanzi, Jacopo (Jacopo Davanzo)",0.0007733952049497294,1.0,10.336506559810255
"Verona, Sebeto da",0.0007733952049497294,"Zevio, Aldigieri (Altichiero) da",0.0007733952049497294,1.0,10.336506559810255
"Avanzi, Jacopo (Jacopo Davanzo)",0.0007733952049497294,"Zevio, Aldigieri (Altichiero) da",0.0007733952049497294,1.0,10.336506559810255
"Marchissi, Antonio di Giorgio",0.0007733952049497294,"Maini (Marini), Michele",0.0007733952049497294,1.0,10.336506559810255
"Ceri, Andrea de'",0.0007733952049497294,"Nunziata, Toto del",0.0007733952049497294,1.0,10.336506559810255
"Cattaneo, Danese (Danese da Carrara)",0.0007733952049497294,"Angelo, Battista d' (Battista d' Agnolo, or del Moro)",0.0007733952049497294,1.0,10.336506559810255
"Lancia, Baldassarre",0.0007733952049497294,"Menzochi, Francesco (Francesco da Forlï¿½)",0.0007733952049497294,1.0,10.336506559810255
"Solari, Cristofano (Cristofano Gobbo)",0.0007733952049497294,"Busto, Agostino (Il Bambaja)",0.0007733952049497294,1.0,10.336506559810255
"Gambara, Lattanzio",0.0007733952049497294,"Moretto, Alessandro (Alessandro Bonvicini)",0.0007733952049497294,1.0,10.336506559810255
"Bembi, Bonifazio",0.0007733952049497294,"Melone, Altobello da",0.0007733952049497294,1.0,10.336506559810255
"Ghirlandajo, David",0.0015467904098994587,"Ghirlandajo, Benedetto",0.0007733952049497294,0.5,9.336506559810255
"Nola, Giovanni da",0.0015467904098994587,"Santa Croce, Girolamo",0.0007733952049497294,0.5,9.336506559810255
"Dossi, Battista",0.0015467904098994587,"Bernazzano, Cesare",0.0007733952049497294,0.5,9.336506559810255
