x,p_x,y,p_y,p_yx,pmi_yx
"Ghiberti, Bonaccorso",0.0010384215991692627,Polycletus,0.0010384215991692627,1.0,9.91139198784346
"Galassi, Galasso (Galasso Ferrarese)",0.0010384215991692627,Simone,0.0010384215991692627,1.0,9.91139198784346
"Galassi, Galasso (Galasso Ferrarese)",0.0010384215991692627,Cristofano,0.0010384215991692627,1.0,9.91139198784346
Simone,0.0010384215991692627,Cristofano,0.0010384215991692627,1.0,9.91139198784346
"Avanzi, Jacopo (Jacopo Davanzo)",0.0010384215991692627,"Zevio, Aldigieri (Altichiero) da",0.0010384215991692627,1.0,9.91139198784346
"Avanzi, Jacopo (Jacopo Davanzo)",0.0010384215991692627,"Verona, Sebeto da",0.0010384215991692627,1.0,9.91139198784346
"Zevio, Aldigieri (Altichiero) da",0.0010384215991692627,"Verona, Sebeto da",0.0010384215991692627,1.0,9.91139198784346
"Maini (Marini), Michele",0.0010384215991692627,"Marchissi, Antonio di Giorgio",0.0010384215991692627,1.0,9.91139198784346
"Conti, Domenico",0.0010384215991692627,"Salviati, Francesco (Francesco de' Rossi)",0.0010384215991692627,1.0,9.91139198784346
"Cattaneo, Danese (Danese da Carrara)",0.0010384215991692627,"Angelo, Battista d' (Battista d' Agnolo, or del Moro)",0.0010384215991692627,1.0,9.91139198784346
"Ceri, Andrea de'",0.0010384215991692627,"Nunziata, Toto del",0.0010384215991692627,1.0,9.91139198784346
"Mainardi, Bastiano (Bastiano da San Gimignano)",0.0020768431983385254,"Ghirlandajo, David",0.0010384215991692627,0.5,8.91139198784346
"Nola, Giovanni da",0.0020768431983385254,"Santa Croce, Girolamo",0.0010384215991692627,0.5,8.91139198784346
"Bernazzano, Cesare",0.0010384215991692627,"Dossi, Battista",0.0020768431983385254,1.0,8.91139198784346
"Cotignola, Francesco da (Francesco de' Zaganelli",0.0020768431983385254,"Ravenna, Rondinello da (Niccolï¿½ Rondinello)",0.0010384215991692627,0.5,8.91139198784346
"Canneri, Anselmo",0.0020768431983385254,"Caliari, Paolo (Paolo Veronese)",0.0020768431983385254,1.0,8.91139198784346
"Canneri, Anselmo",0.0020768431983385254,"Caroto, Giovanni",0.0010384215991692627,0.5,8.91139198784346
"Caliari, Paolo (Paolo Veronese)",0.0020768431983385254,"Caroto, Giovanni",0.0010384215991692627,0.5,8.91139198784346
"Siena, Pastorino da",0.0020768431983385254,"Cellini, Benvenuto",0.0010384215991692627,0.5,8.91139198784346
"Casentino, Jacopo di",0.003115264797507788,"Daddi, Bernardo",0.0010384215991692627,0.3333333333333333,8.326429487122303
"Romano, Paolo",0.003115264797507788,"Mino, Maestro (Mino del Regno, or del Reame)",0.0020768431983385254,0.6666666666666666,8.326429487122303
"Filarete, Antonio",0.003115264797507788,"Ciuffagni, Bernardo",0.0010384215991692627,0.3333333333333333,8.326429487122303
"Dossi, Dosso",0.003115264797507788,"Bernazzano, Cesare",0.0010384215991692627,0.3333333333333333,8.326429487122303
"Dossi, Dosso",0.003115264797507788,"Dossi, Battista",0.0020768431983385254,0.6666666666666666,8.326429487122303
"Modena, Pellegrino da (Pellegrino degli Aretusi, or de' Munari)",0.003115264797507788,"Pistoia, Il (Leonardo)",0.0010384215991692627,0.3333333333333333,8.326429487122303
"Cock, Hieronymus",0.003115264797507788,"Liefrinck, Hans",0.0010384215991692627,0.3333333333333333,8.326429487122303
"Viniziano, Agostino (Agostino de' Musi)",0.003115264797507788,"Dente, Marco (Marco da Ravenna)",0.0020768431983385254,0.6666666666666666,8.326429487122303
Margaritone,0.004153686396677051,"Tedesco, Jacopo (Lapo)",0.0010384215991692627,0.25,7.9113919878434595
"Tafi, Andrea",0.004153686396677051,"Como, Guido da",0.0010384215991692627,0.25,7.9113919878434595
"Laurati, Pietro (Pietro Lorenzetti)",0.0020768431983385254,"Bologhini, Bartolommeo",0.0020768431983385254,0.5,7.9113919878434595
"Maiano, Giuliano da",0.004153686396677051,"Donzello, Polito del",0.0010384215991692627,0.25,7.9113919878434595
"Baldovinetti, Alesso",0.004153686396677051,Graffione,0.0010384215991692627,0.25,7.9113919878434595
"Pollaiuolo, Antonio",0.004153686396677051,"Pollaiuolo, Piero",0.0020768431983385254,0.5,7.9113919878434595
"Bolognese, Marc' Antonio (Marc' Antonio Raimondi, or de' Franci)",0.0020768431983385254,Baviera,0.0020768431983385254,0.5,7.9113919878434595
Baviera,0.0020768431983385254,"Caraglio, Giovanni Jacopo",0.0020768431983385254,0.5,7.9113919878434595
"Ghirlandajo, Ridolfo",0.004153686396677051,"Ceri, Andrea de'",0.0010384215991692627,0.25,7.9113919878434595
"Ghirlandajo, Ridolfo",0.004153686396677051,"Nunziata, Toto del",0.0010384215991692627,0.25,7.9113919878434595
"Signorelli, Luca (Luca da Cortona)",0.004153686396677051,"Caporali, Benedetto (Giovan Battista)",0.0010384215991692627,0.25,7.9113919878434595
"Francia, Francesco",0.004153686396677051,Fivizzano,0.0010384215991692627,0.25,7.9113919878434595
"Ammanati, Bartolommeo",0.0010384215991692627,"Bandinelli, Baccio (Baccio de' Brandini)",0.004153686396677051,1.0,7.9113919878434595
"Licinio, Giovanni Antonio (Cuticello, or Pordenone)",0.004153686396677051,"Amalteo, Pomponio",0.0010384215991692627,0.25,7.9113919878434595
"Fiesole, Andrea da (Andrea Ferrucci)",0.004153686396677051,"Maini (Marini), Michele",0.0010384215991692627,0.25,7.9113919878434595
"Fiesole, Andrea da (Andrea Ferrucci)",0.004153686396677051,"Marchissi, Antonio di Giorgio",0.0010384215991692627,0.25,7.9113919878434595
"Vicentino, Valerio (Valerio de' Belli)",0.004153686396677051,"Marmita, Lodovico",0.0010384215991692627,0.25,7.9113919878434595
Agnolo (of Siena),0.005192107995846314,Agostino (of Siena),0.003115264797507788,0.6,7.589463892956098
"Gaddi, Agnolo",0.005192107995846314,"Gaddi, Giovanni",0.0010384215991692627,0.19999999999999998,7.589463892956098
"Bellini, Gentile",0.005192107995846314,"Vivarino, Luigi",0.0010384215991692627,0.19999999999999998,7.589463892956098
